cik,sic,sic1,sic2,sic3
15678,1311,1,13,131
15840,3448,3,34,344
15847,8741,8,87,874
16040,2890,2,28,289
16058,7373,7,73,737
16099,5812,5,58,581
16104,2015,2,20,201
16160,200,0,2,20
16357,3663,3,36,366
16455,3050,3,30,305
16496,1531,1,15,153
16590,3572,3,35,357
16614,6036,6,60,603
16732,2030,2,20,203
16741,2050,2,20,205
16804,1311,1,13,131
16859,6211,6,62,621
16868,4011,4,40,401
16873,1311,1,13,131
16875,4011,4,40,401
16918,2082,2,20,208
16926,3949,3,39,394
16988,3577,3,35,357
17109,4833,4,48,483
17206,6311,6,63,631
17313,6797,6,67,679
17385,6331,6,63,633
17485,5912,5,59,591
17843,3312,3,33,331
18000,2844,2,28,284
18061,3537,3,35,353
18072,4924,4,49,492
18169,100,0,1,10
18172,5051,5,50,505
18180,6726,6,67,672
18230,3531,3,35,353
18255,5621,5,56,562
18349,6020,6,60,602
18366,4833,4,48,483
18396,7363,7,73,736
18497,6141,6,61,614
18498,5661,5,56,566
18508,6331,6,63,633
18532,1531,1,15,153
18540,4911,4,49,491
18748,6726,6,67,672
18787,4813,4,48,481
18808,4911,4,49,491
18827,3460,3,34,346
18914,6798,6,67,679
18926,4813,4,48,481
18937,3290,3,32,329
19002,2835,2,28,283
19020,3312,3,33,331
19082,3728,3,37,372
19149,2750,2,27,275
19150,2621,2,26,262
19161,3714,3,37,371
19252,1311,1,13,131
19353,5621,5,56,562
19411,8741,8,87,874
19446,3845,3,38,384
19489,6020,6,60,602
19520,2834,2,28,283
19584,8082,8,80,808
19612,6020,6,60,602
19617,6020,6,60,602
19704,3640,3,36,364
19731,2631,2,26,263
19736,2430,2,24,243
19745,4923,4,49,492
19871,3452,3,34,345
19913,6532,6,65,653
19930,5945,5,59,594
20041,2090,2,20,209
20067,4833,4,48,483
20104,4220,4,42,422
20171,6331,6,63,633
20212,7990,7,79,799
20232,3663,3,36,366
20286,6331,6,63,633
20356,2741,2,27,274
20358,6726,6,67,672
20388,6172,6,61,617
20405,6020,6,60,602
20467,6798,6,67,679
20520,4813,4,48,481
20629,2670,2,26,267
20639,6512,6,65,651
20740,3564,3,35,356
20871,1044,1,10,104
20972,6020,6,60,602
20975,6798,6,67,679
21076,2842,2,28,284
21157,3531,3,35,353
21175,6331,6,63,633
21178,6726,6,67,672
21193,6311,6,63,631
21212,2452,2,24,245
21267,4922,4,49,492
21344,2086,2,20,208
21438,3661,3,36,366
21510,3826,3,38,382
21535,3825,3,38,382
21627,3640,3,36,364
21665,2844,2,28,284
21686,3842,3,38,384
21759,3713,3,37,371
21828,5070,5,50,507
21956,6020,6,60,602
22099,4923,4,49,492
22229,1311,1,13,131
22252,9995,9,99,999
22337,1000,1,10,100
22356,6020,6,60,602
22366,2721,2,27,272
22390,6020,6,60,602
22412,2750,2,27,275
22444,3312,3,33,331
22470,3590,3,35,359
22551,1311,1,13,131
22698,4899,4,48,489
22701,3661,3,36,366
22764,8060,8,80,806
22872,6324,6,63,632
22896,7370,7,73,737
22912,7381,7,73,738
22962,3661,3,36,366
22989,7373,7,73,737
23019,9995,9,99,999
23023,3577,3,35,357
23055,7372,7,73,737
23071,3679,3,36,367
23107,7373,7,73,737
23111,7370,7,73,737
23197,3663,3,36,366
