cik,sic,sic1,sic2,sic3
795665,5093,5,50,509
795711,3578,3,35,357
795820,7373,7,73,737
795965,7374,7,73,737
795968,3531,3,35,353
795986,3827,3,38,382
796038,8711,8,87,871
796040,7841,7,78,784
796117,5093,5,50,509
796122,1531,1,15,153
796226,2330,2,23,233
796228,3861,3,38,386
796313,7372,7,73,737
796317,6020,6,60,602
796318,7389,7,73,738
796322,6020,6,60,602
796332,5810,5,58,581
796334,1600,1,16,160
796337,7372,7,73,737
796343,7372,7,73,737
796369,5812,5,58,581
796370,6282,6,62,628
796374,4011,4,40,401
796486,4841,4,48,484
796502,3621,3,36,362
796505,3679,3,36,367
796534,6020,6,60,602
796577,3559,3,35,355
796578,6726,6,67,672
796624,5961,5,59,596
796735,4832,4,48,483
796764,7990,7,79,799
796912,7990,7,79,799
797079,2810,2,28,281
797088,1040,1,10,104
797109,3569,3,35,356
797164,3661,3,36,366
797221,9995,9,99,999
797313,4841,4,48,484
797315,3931,3,39,393
797320,3081,3,30,308
797324,7372,7,73,737
797394,2090,2,20,209
797422,7830,7,78,783
797448,7373,7,73,737
797460,5812,5,58,581
797462,5712,5,57,571
797465,2511,2,25,251
797468,1311,1,13,131
797496,6331,6,63,633
797502,6794,6,67,679
797507,6036,6,60,603
797541,6020,6,60,602
797543,2421,2,24,242
797564,8060,8,80,806
797658,7812,7,78,781
797659,6794,6,67,679
797662,1090,1,10,109
797721,3663,3,36,366
797871,6020,6,60,602
797894,5731,5,57,573
797917,3490,3,34,349
797975,2842,2,28,284
797984,3661,3,36,366
797989,4955,4,49,495
798044,3679,3,36,367
798078,6794,6,67,679
798081,3842,3,38,384
798085,6351,6,63,635
798122,7372,7,73,737
798139,8711,8,87,871
798166,2800,2,28,280
798168,7363,7,73,736
798186,5700,5,57,570
798246,2200,2,22,220
798287,4213,4,42,421
798288,6798,6,67,679
798289,3670,3,36,367
798311,6726,6,67,672
798354,7374,7,73,737
798359,6798,6,67,679
798363,6331,6,63,633
798399,3661,3,36,366
798438,3679,3,36,367
798528,4400,4,44,440
798534,7372,7,73,737
798540,8051,8,80,805
798542,6531,6,65,653
798600,9995,9,99,999
798671,4953,4,49,495
798736,7373,7,73,737
798738,6726,6,67,672
798757,7372,7,73,737
798783,6798,6,67,679
798935,5500,5,55,550
798941,6020,6,60,602
798949,1311,1,13,131
798953,6035,6,60,603
798955,5700,5,57,570
798985,2834,2,28,283
799026,6020,6,60,602
799028,3420,3,34,342
799029,6726,6,67,672
799033,7359,7,73,735
799036,6321,6,63,632
799068,2721,2,27,272
799088,7830,7,78,783
799089,7372,7,73,737
799099,7011,7,70,701
799119,2911,2,29,291
799128,9995,9,99,999
799165,1382,1,13,138
799166,6036,6,60,603
799167,4213,4,42,421
799169,7011,7,70,701
799195,6726,6,67,672
799208,3448,3,34,344
799210,2650,2,26,265
799229,2834,2,28,283
799231,8082,8,80,808
799233,4213,4,42,421
799237,9995,9,99,999
799241,3990,3,39,399
799268,3564,3,35,356
799288,5961,5,59,596
799290,3845,3,38,384
799292,1531,1,15,153
799296,7812,7,78,781
799297,6331,6,63,633
799300,8082,8,80,808
799319,4899,4,48,489
799321,6035,6,60,603
799365,6411,6,64,641
799368,6799,6,67,679
799426,4899,4,48,489
799485,2834,2,28,283
799515,3911,3,39,391
799526,3564,3,35,356
799642,1540,1,15,154
799690,6726,6,67,672
799692,2080,2,20,208
799694,8082,8,80,808
799698,2836,2,28,283
799699,6153,6,61,615
799729,8731,8,87,873
799850,5500,5,55,550
799902,6411,6,64,641
799903,2834,2,28,283
799937,7310,7,73,731
800031,3812,3,38,381
800042,6036,6,60,603
800055,3651,3,36,365
800093,2911,2,29,291
800115,1311,1,13,131
800136,7371,7,73,737
800166,1040,1,10,104
800167,5411,5,54,541
800181,8082,8,80,808
800193,3550,3,35,355
800240,5940,5,59,594
800266,2670,2,26,267
800286,5045,5,50,504
800287,4955,4,49,495
800351,3711,3,37,371
800365,3861,3,38,386
800454,3944,3,39,394
800457,6331,6,63,633
800458,7370,7,73,737
800459,3651,3,36,365
800460,3670,3,36,367
800575,3580,3,35,358
800630,3312,3,33,331
800673,4512,4,45,451
800861,1311,1,13,131
800863,3579,3,35,357
800898,1040,1,10,104
800901,2082,2,20,208
800937,3711,3,37,371
801051,6282,6,62,628
801121,5045,5,50,504
801122,6020,6,60,602
801124,6798,6,67,679
801128,3564,3,35,356
801309,7812,7,78,781
801310,1000,1,10,100
801313,3576,3,35,357
801321,6331,6,63,633
801337,6020,6,60,602
801338,8700,8,87,870
801343,7372,7,73,737
801350,3842,3,38,384
801351,2300,2,23,230
801354,7370,7,73,737
801441,7812,7,78,781
801443,6020,6,60,602
801448,3661,3,36,366
801529,3861,3,38,386
801550,6172,6,61,617
801557,6794,6,67,679
801558,4213,4,42,421
801622,7331,7,73,733
801693,5200,5,52,520
801748,8090,8,80,809
801771,6020,6,60,602
801873,3089,3,30,308
801898,3532,3,35,353
801907,3728,3,37,372
801961,6726,6,67,672
802100,3960,3,39,396
802127,1311,1,13,131
802142,3825,3,38,382
802223,6035,6,60,603
802284,8060,8,80,806
802301,7370,7,73,737
802354,2030,2,20,203
802356,2844,2,28,284
802361,4841,4,48,484
802481,2015,2,20,201
802492,8711,8,87,871
802517,5810,5,58,581
802524,1700,1,17,170
802555,6211,6,62,621
802678,6512,6,65,651
802681,6020,6,60,602
802700,1040,1,10,104
802724,2834,2,28,283
802779,6510,6,65,651
802806,8742,8,87,874
802825,3728,3,37,372
802851,3674,3,36,367
802896,4832,4,48,483
802904,5961,5,59,596
802916,3823,3,38,382
802967,3089,3,30,308
802971,6331,6,63,633
803003,7990,7,79,799
803014,7372,7,73,737
803016,6159,6,61,615
803027,6331,6,63,633
803034,7819,7,78,781
803046,6162,6,61,616
803058,8700,8,87,870
803112,6020,6,60,602
803167,7841,7,78,784
803168,7990,7,79,799
803170,7370,7,73,737
803190,3571,3,35,357
803227,5731,5,57,573
803260,7389,7,73,738
803266,4833,4,48,483
803348,3620,3,36,362
803349,2451,2,24,245
803352,8093,8,80,809
803354,6035,6,60,603
803395,3577,3,35,357
803443,7377,7,73,737
803497,5812,5,58,581
803498,3823,3,38,382
803515,5211,5,52,521
803521,7310,7,73,731
803568,6324,6,63,632
803578,7371,7,73,737
803605,6552,6,65,655
803608,6798,6,67,679
803644,6020,6,60,602
803647,8711,8,87,871
803649,6798,6,67,679
803656,6510,6,65,651
803740,6799,6,67,679
803743,4833,4,48,483
803957,3559,3,35,355
804073,3812,3,38,381
804084,3911,3,39,391
804116,6726,6,67,672
804121,7372,7,73,737
804123,6726,6,67,672
804124,6035,6,60,603
804138,6798,6,67,679
804151,3561,3,35,356
804188,5045,5,50,504
804191,5031,5,50,503
804212,5084,5,50,508
804219,7011,7,70,701
804237,4955,4,49,495
804269,6141,6,61,614
804307,3312,3,33,331
804312,3674,3,36,367
804328,3674,3,36,367
804331,5065,5,50,506
804333,5411,5,54,541
804334,3679,3,36,367
804368,7372,7,73,737
804561,6020,6,60,602
804731,8711,8,87,871
804742,4950,4,49,495
804753,7373,7,73,737
804888,7372,7,73,737
805012,4991,4,49,499
805020,5412,5,54,541
805022,4610,4,46,461
805023,3081,3,30,308
805037,6324,6,63,632
805054,7370,7,73,737
805057,6798,6,67,679
805264,2810,2,28,281
805265,6331,6,63,633
805266,6321,6,63,632
805267,6726,6,67,672
805268,3651,3,36,365
805270,2821,2,28,282
805305,2320,2,23,232
805326,2834,2,28,283
805330,7372,7,73,737
805383,2835,2,28,283
805419,6798,6,67,679
805574,7372,7,73,737
805645,3089,3,30,308
805647,6351,6,63,635
805676,6020,6,60,602
805730,9995,9,99,999
805792,3555,3,35,355
805900,5944,5,59,594
805907,3751,3,37,375
805914,3910,3,39,391
805928,3842,3,38,384
805956,7389,7,73,738
806002,3571,3,35,357
806011,6153,6,61,615
806029,6512,6,65,651
806072,6411,6,64,641
806084,1040,1,10,104
806085,6211,6,62,621
806086,3845,3,38,384
806089,3842,3,38,384
806151,8060,8,80,806
806168,3845,3,38,384
806172,3690,3,36,369
806173,1700,1,17,170
806279,6020,6,60,602
806302,3661,3,36,366
806384,2330,2,23,233
806388,8711,8,87,871
806393,4911,4,49,491
806398,4412,4,44,441
806400,3312,3,33,331
806439,6099,6,60,609
806514,3086,3,30,308
806517,8071,8,80,807
806566,7372,7,73,737
806624,2211,2,22,221
806627,1531,1,15,153
806628,6726,6,67,672
806637,2835,2,28,283
806817,5712,5,57,571
806839,2090,2,20,209
806842,5045,5,50,504
806850,1381,1,13,138
806891,4953,4,49,495
806968,7311,7,73,731
807144,9995,9,99,999
807198,2834,2,28,283
807359,4011,4,40,401
807364,6552,6,65,655
807397,3448,3,34,344
807450,5110,5,51,511
807522,6020,6,60,602
807524,6036,6,60,603
807605,3674,3,36,367
807630,5094,5,50,509
807707,3651,3,36,365
807708,1600,1,16,160
807732,7372,7,73,737
807782,7363,7,73,736
807807,2834,2,28,283
807863,3577,3,35,357
807873,2834,2,28,283
807877,3312,3,33,331
807882,5812,5,58,581
807884,5900,5,59,590
807903,1700,1,17,170
807906,6331,6,63,633
808011,3842,3,38,384
808013,3089,3,30,308
808015,3823,3,38,382
808047,5411,5,54,541
808064,3690,3,36,369
808207,7372,7,73,737
808219,5812,5,58,581
808220,3663,3,36,366
808240,6798,6,67,679
808241,3080,3,30,308
808246,6036,6,60,603
808302,7990,7,79,799
808305,3690,3,36,369
808310,7372,7,73,737
808326,3674,3,36,367
808338,3827,3,38,382
808356,6794,6,67,679
808362,1381,1,13,138
808364,6020,6,60,602
808439,4581,4,45,458
808450,3711,3,37,371
808461,4812,4,48,481
808462,1040,1,10,104
808464,2086,2,20,208
808493,100,0,1,10
808575,9995,9,99,999
808598,5331,5,53,533
808715,6532,6,65,653
808918,9995,9,99,999
809012,3620,3,36,362
809023,4512,4,45,451
809060,3678,3,36,367
809066,3585,3,35,358
809103,1040,1,10,104
809173,6726,6,67,672
809222,6035,6,60,603
809243,3845,3,38,384
809246,4213,4,42,421
809248,5812,5,58,581
809398,6361,6,63,636
809428,1311,1,13,131
809559,6726,6,67,672
809572,1700,1,17,170
809584,6726,6,67,672
809608,4841,4,48,484
809708,6726,6,67,672
809716,8082,8,80,808
809719,2033,2,20,203
809796,3442,3,34,344
809801,6331,6,63,633
809803,2200,2,22,220
809844,6726,6,67,672
809875,2834,2,28,283
809933,8711,8,87,871
810018,3663,3,36,366
810029,5961,5,59,596
810084,3841,3,38,384
810111,3661,3,36,366
810113,4400,4,44,440
810130,3672,3,36,367
810136,3674,3,36,367
810269,2750,2,27,275
810270,8742,8,87,874
810309,7510,7,75,751
810316,2911,2,29,291
810328,5099,5,50,509
810332,4512,4,45,451
810351,7370,7,73,737
810354,6020,6,60,602
810365,3845,3,38,384
810370,3341,3,33,334
810439,6726,6,67,672
810467,3576,3,35,357
810509,2835,2,28,283
810536,6035,6,60,603
810578,6035,6,60,603
810589,6036,6,60,603
810590,2834,2,28,283
810613,2890,2,28,289
810622,4832,4,48,483
810624,9995,9,99,999
810625,5211,5,52,521
810665,4953,4,49,495
810666,1731,1,17,173
810674,1311,1,13,131
810689,6020,6,60,602
810723,8734,8,87,873
810724,7011,7,70,701
810766,6726,6,67,672
810781,6512,6,65,651
810818,8731,8,87,873
810822,3841,3,38,384
810829,5990,5,59,599
810876,3580,3,35,358
810907,6798,6,67,679
810943,6726,6,67,672
810950,4731,4,47,473
810957,3576,3,35,357
810958,6020,6,60,602
810962,6036,6,60,603
810992,7011,7,70,701
811014,3829,3,38,382
811097,6035,6,60,603
811156,4931,4,49,493
811206,7372,7,73,737
811207,4833,4,48,483
811210,2834,2,28,283
811211,6020,6,60,602
811212,3821,3,38,382
811213,4213,4,42,421
811240,3843,3,38,384
811243,3661,3,36,366
811419,1400,1,14,140
811421,8071,8,80,807
811422,3990,3,39,399
811432,3531,3,35,353
811434,6036,6,60,603
811436,6036,6,60,603
811437,6799,6,67,679
811515,8744,8,87,874
811516,6798,6,67,679
811522,1040,1,10,104
811532,7996,7,79,799
811553,6036,6,60,603
811562,1623,1,16,162
811565,8060,8,80,806
811589,6020,6,60,602
811596,3350,3,33,335
811612,6331,6,63,633
811640,7372,7,73,737
811641,2835,2,28,283
811644,6141,6,61,614
811664,4522,4,45,452
811669,2100,2,21,210
811671,6020,6,60,602
811696,5940,5,59,594
811703,7373,7,73,737
811714,4832,4,48,483
811716,3571,3,35,357
811786,5080,5,50,508
811797,6726,6,67,672
811801,3320,3,33,332
811808,6020,6,60,602
811809,1000,1,10,100
811828,3081,3,30,308
811830,6020,6,60,602
811831,6020,6,60,602
811863,6512,6,65,651
811868,7370,7,73,737
811870,7371,7,73,737
811908,6036,6,60,603
811917,6211,6,62,621
811922,6726,6,67,672
811929,3312,3,33,331
811930,2015,2,20,201
811932,4955,4,49,495
811933,7812,7,78,781
811983,1040,1,10,104
812011,7990,7,79,799
812072,7510,7,75,751
812074,3221,3,32,322
812075,5812,5,58,581
812076,2750,2,27,275
812083,3825,3,38,382
812090,6726,6,67,672
812121,3845,3,38,384
812127,5651,5,56,565
812128,2015,2,20,201
812146,6036,6,60,603
812150,6798,6,67,679
812156,3669,3,36,366
812186,6411,6,64,641
812191,8060,8,80,806
812301,3845,3,38,384
812310,3312,3,33,331
812348,6020,6,60,602
812356,1040,1,10,104
812407,7363,7,73,736
812423,3861,3,38,386
812444,2834,2,28,283
812446,5621,5,56,562
812482,7990,7,79,799
812488,6799,6,67,679
812489,7822,7,78,782
812490,7372,7,73,737
812491,3661,3,36,366
812544,3576,3,35,357
812551,9995,9,99,999
812591,7011,7,70,701
812594,2834,2,28,283
812629,5020,5,50,502
812699,6020,6,60,602
812700,2650,2,26,265
812701,2810,2,28,281
812703,3663,3,36,366
812708,2820,2,28,282
812712,6211,6,62,621
812788,2834,2,28,283
812790,8082,8,80,808
812796,2834,2,28,283
812801,6726,6,67,672
812880,3571,3,35,357
812882,7812,7,78,781
812890,7380,7,73,738
812900,5311,5,53,531
812906,5940,5,59,594
812910,6411,6,64,641
812914,7350,7,73,735
812927,3674,3,36,367
812929,6324,6,63,632
812944,3532,3,35,353
812955,4832,4,48,483
813013,5090,5,50,509
813040,4100,4,41,410
813118,3842,3,38,384
813134,2670,2,26,267
813298,5651,5,56,565
813309,1311,1,13,131
813339,6726,6,67,672
813342,7385,7,73,738
813418,6799,6,67,679
813424,3100,3,31,310
813461,6035,6,60,603
813471,2200,2,22,220
813562,6411,6,64,641
813565,6153,6,61,615
813616,6411,6,64,641
813619,3081,3,30,308
813621,1400,1,14,140
813623,6726,6,67,672
813634,2820,2,28,282
813639,1040,1,10,104
813656,7372,7,73,737
813672,7372,7,73,737
813719,3089,3,30,308
813740,3823,3,38,382
813742,100,0,1,10
813745,5065,5,50,506
813747,7373,7,73,737
813749,6035,6,60,603
813762,9997,9,99,999
813765,2050,2,20,205
813775,5651,5,56,565
813779,1311,1,13,131
813781,3690,3,36,369
813808,6020,6,60,602
813810,3630,3,36,363
813811,7389,7,73,738
813828,4888,4,48,488
813895,3669,3,36,366
813898,6020,6,60,602
813901,1623,1,16,162
813902,3845,3,38,384
813920,5812,5,58,581
813945,1531,1,15,153
814008,2835,2,28,283
814013,3585,3,35,358
814037,3580,3,35,358
814050,2870,2,28,287
814052,4812,4,48,481
814055,7990,7,79,799
814057,3845,3,38,384
814059,3845,3,38,384
814068,2451,2,24,245
814069,8200,8,82,820
814081,2253,2,22,225
814083,6726,6,67,672
814085,2510,2,25,251
814139,2013,2,20,201
814180,3823,3,38,382
814181,6321,6,63,632
814184,6020,6,60,602
814186,4953,4,49,495
814228,5331,5,53,533
814242,6035,6,60,603
814246,6099,6,60,609
814248,2844,2,28,284
814249,5045,5,50,504
814250,3724,3,37,372
814258,3842,3,38,384
814273,3640,3,36,364
814287,2000,2,20,200
814331,3621,3,36,362
814339,2030,2,20,203
814361,3140,3,31,314
814427,3672,3,36,367
814430,5045,5,50,504
814453,3990,3,39,399
814456,9995,9,99,999
814457,3089,3,30,308
814463,2670,2,26,267
814479,6035,6,60,603
814497,6331,6,63,633
814500,7377,7,73,737
814547,7373,7,73,737
814549,7372,7,73,737
814562,6799,6,67,679
814567,6799,6,67,679
814577,1040,1,10,104
814579,5140,5,51,514
814580,5190,5,51,519
814585,6351,6,63,635
814586,2020,2,20,202
814611,5731,5,57,573
814676,3290,3,32,329
814677,6799,6,67,679
814725,2670,2,26,267
814774,6211,6,62,621
814830,6726,6,67,672
814849,1531,1,15,153
814853,3620,3,36,362
814855,6799,6,67,679
814856,6512,6,65,651
814893,7819,7,78,781
814897,1540,1,15,154
814898,6411,6,64,641
814904,1040,1,10,104
814915,4955,4,49,495
814920,3442,3,34,344
814924,5094,5,50,509
814929,9995,9,99,999
814930,3842,3,38,384
814932,3669,3,36,366
815017,7389,7,73,738
815029,3490,3,34,349
815032,6020,6,60,602
815093,3845,3,38,384
815094,3841,3,38,384
815097,4400,4,44,440
815185,3829,3,38,382
815272,4953,4,49,495
815273,5045,5,50,504
815274,7363,7,73,736
815508,2836,2,28,283
815553,4812,4,48,481
815555,7370,7,73,737
815556,5000,5,50,500
815757,1400,1,14,140
815787,6331,6,63,633
815838,2834,2,28,283
815910,3577,3,35,357
816066,3826,3,38,382
816151,8071,8,80,807
816159,4522,4,45,452
816236,6552,6,65,655
816245,3944,3,39,394
816247,8200,8,82,820
816284,2834,2,28,283
816330,1040,1,10,104
816348,3861,3,38,386
816568,9995,9,99,999
816754,6726,6,67,672
816761,7370,7,73,737
816762,3571,3,35,357
816949,3842,3,38,384
816955,2810,2,28,281
816956,3845,3,38,384
817129,3663,3,36,366
817130,6726,6,67,672
817134,3714,3,37,371
817135,8071,8,80,807
817161,3841,3,38,384
817366,700,0,7,70
817383,6798,6,67,679
817473,6797,6,67,679
817516,3674,3,36,367
817632,7385,7,73,738
817637,3561,3,35,356
817644,3555,3,35,355
817720,3674,3,36,367
817785,2836,2,28,283
817820,9995,9,99,999
817897,7359,7,73,735
817908,6726,6,67,672
817945,7381,7,73,738
817946,5944,5,59,594
817979,3714,3,37,371
817998,6726,6,67,672
818008,5961,5,59,596
818010,100,0,1,10
818014,7373,7,73,737
818015,2510,2,25,251
818017,5084,5,50,508
818029,1090,1,10,109
818033,2836,2,28,283
818035,3575,3,35,357
818074,5065,5,50,506
818075,4922,4,49,492
818096,6035,6,60,603
818105,6726,6,67,672
818146,7372,7,73,737
818155,6331,6,63,633
818203,3580,3,35,358
818268,3634,3,36,363
818305,6726,6,67,672
818350,3751,3,37,375
818436,6726,6,67,672
818456,3576,3,35,357
818467,2844,2,28,284
818470,3577,3,35,357
818479,3843,3,38,384
818594,2836,2,28,283
818625,3845,3,38,384
818633,6020,6,60,602
818645,8082,8,80,808
818674,9995,9,99,999
818675,8711,8,87,871
818682,5651,5,56,565
818686,2834,2,28,283
818687,4812,4,48,481
818695,8351,8,83,835
818725,8082,8,80,808
818726,5150,5,51,515
818730,5051,5,50,505
818786,2082,2,20,208
818789,6726,6,67,672
818813,7372,7,73,737
818815,9995,9,99,999
818850,6726,6,67,672
818851,6726,6,67,672
818885,1311,1,13,131
818897,6799,6,67,679
818968,4955,4,49,495
818969,6020,6,60,602
818970,6531,6,65,653
818972,6726,6,67,672
818973,7389,7,73,738
818999,6020,6,60,602
819005,7372,7,73,737
819028,7819,7,78,781
819050,2836,2,28,283
819182,2834,2,28,283
819187,5960,5,59,596
819203,3572,3,35,357
819220,2750,2,27,275
819221,3841,3,38,384
819255,5070,5,50,507
819334,7373,7,73,737
819479,3576,3,35,357
819480,3572,3,35,357
819517,1040,1,10,104
819521,6211,6,62,621
819527,2020,2,20,202
819541,8711,8,87,871
819544,2860,2,28,286
819550,6036,6,60,603
819551,6532,6,65,653
819632,5140,5,51,514
819671,6513,6,65,651
819673,6726,6,67,672
819676,2200,2,22,220
819689,3845,3,38,384
819692,6020,6,60,602
819694,4899,4,48,489
819706,3577,3,35,357
819724,8742,8,87,874
819790,2092,2,20,209
819793,2221,2,22,222
819794,7822,7,78,782
819817,2621,2,26,262
819840,3661,3,36,366
819898,4841,4,48,484
819913,6331,6,63,633
819926,3550,3,35,355
819939,3845,3,38,384
819977,8711,8,87,871
819981,3841,3,38,384
819996,1040,1,10,104
820026,6726,6,67,672
820027,6211,6,62,621
820028,6726,6,67,672
820067,6020,6,60,602
820068,6035,6,60,603
820081,2833,2,28,283
820082,3716,3,37,371
820084,1311,1,13,131
820087,6159,6,61,615
820090,6726,6,67,672
820095,3672,3,36,367
820097,3679,3,36,367
820163,5661,5,56,566
820206,6798,6,67,679
820235,7372,7,73,737
820237,2835,2,28,283
820240,6035,6,60,603
820242,3949,3,39,394
820285,4813,4,48,481
820313,3678,3,36,367
820318,3827,3,38,382
820379,6020,6,60,602
820411,4961,4,49,496
820413,2836,2,28,283
820474,8060,8,80,806
820526,3714,3,37,371
820537,6726,6,67,672
820580,3578,3,35,357
820588,6799,6,67,679
820600,6552,6,65,655
820626,2870,2,28,287
820675,6726,6,67,672
820735,5045,5,50,504
820736,3760,3,37,376
820738,7372,7,73,737
820739,5190,5,51,519
820745,1311,1,13,131
820756,5990,5,59,599
820757,9995,9,99,999
820759,3578,3,35,357
820774,2320,2,23,232
820786,6036,6,60,603
820900,6035,6,60,603
820902,7372,7,73,737
820906,2890,2,28,289
820907,6036,6,60,603
820917,6531,6,65,653
820957,2253,2,22,225
820960,3312,3,33,331
820999,7331,7,73,733
821002,2300,2,23,230
821020,7310,7,73,731
821026,5150,5,51,515
821113,4991,4,49,499
821124,5812,5,58,581
821126,3571,3,35,357
821127,6020,6,60,602
821130,4812,4,48,481
821189,1311,1,13,131
821202,9995,9,99,999
821243,6799,6,67,679
821361,1623,1,16,162
821407,3350,3,33,335
821466,6726,6,67,672
821483,2911,2,29,291
821509,3669,3,36,366
821527,8711,8,87,871
821530,5072,5,50,507
821536,5990,5,59,599
821538,3086,3,30,308
821572,2024,2,20,202
821600,6726,6,67,672
821609,2890,2,28,289
821616,2834,2,28,283
821995,2834,2,28,283
822039,7371,7,73,737
822046,3826,3,38,382
822076,5500,5,55,550
822079,6321,6,63,632
822084,3841,3,38,384
822206,2834,2,28,283
822367,1623,1,16,162
822370,8090,8,80,809
822372,2221,2,22,222
822373,3651,3,36,365
822374,2013,2,20,201
822411,2836,2,28,283
822415,6798,6,67,679
822416,1531,1,15,153
822418,8071,8,80,807
822419,4812,4,48,481
822426,6282,6,62,628
822522,6726,6,67,672
822553,7200,7,72,720
822661,4812,4,48,481
822662,6020,6,60,602
822663,2844,2,28,284
822664,3825,3,38,382
822665,3640,3,36,364
822668,8060,8,80,806
822697,6020,6,60,602
822708,9995,9,99,999
822746,1311,1,13,131
822794,6726,6,67,672
822818,4955,4,49,495
822822,5130,5,51,513
822829,1531,1,15,153
822935,9995,9,99,999
822973,3672,3,36,367
823094,7389,7,73,738
823130,3669,3,36,366
823187,3851,3,38,385
823190,7372,7,73,737
823197,3652,3,36,365
823248,2020,2,20,202
823314,6162,6,61,616
823386,6141,6,61,614
823393,6020,6,60,602
823488,6798,6,67,679
823534,2621,2,26,262
823550,6035,6,60,603
823553,7997,7,79,799
823556,8711,8,87,871
823560,3842,3,38,384
823754,3842,3,38,384
823768,4953,4,49,495
823844,2086,2,20,208
823870,6020,6,60,602
823876,3841,3,38,384
823883,5912,5,59,591
823927,8731,8,87,873
823975,1311,1,13,131
824008,7372,7,73,737
824046,2330,2,23,233
824068,3842,3,38,384
824096,3530,3,35,353
824103,100,0,1,10
824109,3537,3,35,353
824142,3585,3,35,358
824169,4812,4,48,481
824185,7200,7,72,720
824206,5140,5,51,514
824225,3572,3,35,357
824335,6020,6,60,602
824410,6020,6,60,602
824428,1531,1,15,153
824435,3911,3,39,391
824463,6726,6,67,672
824498,2732,2,27,273
824575,8200,8,82,820
824578,2750,2,27,275
824590,1040,1,10,104
824719,6020,6,60,602
824726,1311,1,13,131
824740,7370,7,73,737
824768,5122,5,51,512
824803,3821,3,38,382
824840,5712,5,57,571
825171,1000,1,10,100
825202,6726,6,67,672
825313,6799,6,67,679
825314,6035,6,60,603
825324,5812,5,58,581
825345,6726,6,67,672
825353,6726,6,67,672
825391,8000,8,80,800
825393,6035,6,60,603
825410,8734,8,87,873
825411,3620,3,36,362
825517,1090,1,10,109
825521,3713,3,37,371
825534,6036,6,60,603
825539,6020,6,60,602
825542,2870,2,28,287
825650,6726,6,67,672
825692,2631,2,26,263
825703,7372,7,73,737
825777,5399,5,53,539
825797,7011,7,70,701
825830,1700,1,17,170
826020,6726,6,67,672
826075,3290,3,32,329
826154,6020,6,60,602
826253,3621,3,36,362
826326,3490,3,34,349
826328,6020,6,60,602
826329,6035,6,60,603
826330,3564,3,35,356
826337,5140,5,51,514
826411,1731,1,17,173
826490,8062,8,80,806
826491,6020,6,60,602
826495,5961,5,59,596
826619,3250,3,32,325
826675,6798,6,67,679
826683,6211,6,62,621
826727,2400,2,24,240
826735,6726,6,67,672
826756,6035,6,60,603
826764,6020,6,60,602
826771,4812,4,48,481
826773,1700,1,17,170
826821,1700,1,17,170
826918,6331,6,63,633
827052,4911,4,49,491
827053,8200,8,82,820
827054,3674,3,36,367
827056,3845,3,38,384
827085,6020,6,60,602
827100,7370,7,73,737
827156,2834,2,28,283
827187,2510,2,25,251
827230,6172,6,61,617
827301,3661,3,36,366
827651,5110,5,51,511
827773,6726,6,67,672
827795,1311,1,13,131
827809,2834,2,28,283
827838,5045,5,50,504
827871,2834,2,28,283
828064,3651,3,36,365
828119,3823,3,38,382
828146,3679,3,36,367
828174,5621,5,56,562
828189,6552,6,65,655
828220,3711,3,37,371
828360,7359,7,73,735
828509,3578,3,35,357
828529,3576,3,35,357
828598,1311,1,13,131
828678,6153,6,61,615
828747,5961,5,59,596
828750,5961,5,59,596
828781,6726,6,67,672
828803,6726,6,67,672
828808,6036,6,60,603
828809,4822,4,48,482
828828,8711,8,87,871
828879,1311,1,13,131
828916,6798,6,67,679
828934,3577,3,35,357
828941,4911,4,49,491
828942,6162,6,61,616
828944,6035,6,60,603
828956,4899,4,48,489
828957,6798,6,67,679
828976,6035,6,60,603
828990,6726,6,67,672
829044,2253,2,22,225
829088,3845,3,38,384
829218,2821,2,28,282
829221,3812,3,38,381
829224,5812,5,58,581
829269,2200,2,22,220
829277,6351,6,63,635
829282,6036,6,60,603
829323,7370,7,73,737
829344,6726,6,67,672
829365,6512,6,65,651
829406,6020,6,60,602
829444,3730,3,37,373
829499,2050,2,20,205
829549,2836,2,28,283
829608,8093,8,80,809
829649,5047,5,50,504
829676,4812,4,48,481
829732,6036,6,60,603
829753,6036,6,60,603
829764,2891,2,28,289
829801,6726,6,67,672
829803,6035,6,60,603
829903,5961,5,59,596
829956,6211,6,62,621
829966,4911,4,49,491
829987,2834,2,28,283
830055,6035,6,60,603
830104,8711,8,87,871
830122,6552,6,65,655
830134,5990,5,59,599
830141,2810,2,28,281
830142,6726,6,67,672
830143,6035,6,60,603
830154,6020,6,60,602
830158,8071,8,80,807
830160,6726,6,67,672
830250,6035,6,60,603
830257,6020,6,60,602
830260,3312,3,33,331
830264,6726,6,67,672
830266,6726,6,67,672
830271,6726,6,67,672
830315,6035,6,60,603
830404,7830,7,78,783
830474,6726,6,67,672
830476,1389,1,13,138
830487,6726,6,67,672
830488,4813,4,48,481
830489,7370,7,73,737
830524,2891,2,28,289
830622,6726,6,67,672
830624,6726,6,67,672
830656,8731,8,87,873
830735,8082,8,80,808
830748,6798,6,67,679
830750,6036,6,60,603
830751,6036,6,60,603
830779,6726,6,67,672
830821,1040,1,10,104
830916,3672,3,36,367
830975,6726,6,67,672
830985,1311,1,13,131
830991,4955,4,49,495
830996,6035,6,60,603
831001,6199,6,61,619
831002,4953,4,49,495
831115,3674,3,36,367
